date,hours
5/15/2023,0
5/16/2023,0.43
5/17/2023,0.57
5/18/2023,0
5/19/2023,0.83
5/20/2023,0
5/21/2023,0
5/22/2023,0
5/23/2023,0
5/24/2023,0
5/25/2023,0
5/26/2023,1.07
5/27/2023,0
5/28/2023,0
5/29/2023,0
5/30/2023,0.5
5/31/2023,0
6/1/2023,0
6/2/2023,0
6/3/2023,0
6/4/2023,0
6/5/2023,0.84
6/6/2023,0.4
6/7/2023,0
6/8/2023,1.88
6/9/2023,0.59
6/10/2023,0
6/11/2023,0
6/12/2023,0
6/13/2023,1.33
6/14/2023,4.57
6/15/2023,6.9
6/16/2023,8.93
6/17/2023,0
6/18/2023,0
6/19/2023,1.74
6/20/2023,2.04
6/21/2023,2.38
6/22/2023,7.79
6/23/2023,2
6/24/2023,0
6/25/2023,0.88
6/26/2023,0
6/27/2023,12.99
6/28/2023,12.6
6/29/2023,16.73
6/30/2023,18.89
7/1/2023,13.97
7/2/2023,9.68
7/3/2023,9.69
7/4/2023,6.77
7/5/2023,12.74
7/6/2023,12.77
7/7/2023,6.37
7/8/2023,7
7/9/2023,3.12
7/10/2023,5.53
7/11/2023,5.35
7/12/2023,2.15
7/13/2023,9.08
7/14/2023,2.39
